titre,entreprise,ville,contrat,date,lien,source
CHAUFFEURS TRICYCLE (BOUTIQUE MOBILE CANAL+),AFRICA SATELLITE TELEVISION,"Ouakam,
                                                                                Dakar",AFRICA SATELLITE TELEVISION,"26. mars, 09:52",https://www.expat-dakar.com/annonce/chauffeurs-tricycle-boutique-mobile-canal-6665478,expat-dakar.com
JEUNE CHRÉTIENNE POUR MÉNAGE (Almadies 2),charles placement,"Almadies 2,
                                                                                Dakar",charles placement,"26. mars, 08:52",https://www.expat-dakar.com/annonce/jeune-chretienne-pour-menage-almadies-2-6666143,expat-dakar.com
Téléopératrice (Centre D'appel),Call Center,"Ouest foire,
                                                                                Dakar",Call Center,"24. mars, 17:29",https://www.expat-dakar.com/annonce/teleoperatrice-centre-dappel-6663179,expat-dakar.com
OFFRE DE STAGE – ASSISTANTE COMMERCIALE,N/A,"Mermoz,
                                                                                Dakar",,"24. mars, 13:42",https://www.expat-dakar.com/annonce/offre-de-stage-assistante-commerciale-6663482,expat-dakar.com
STAGE-FORMATION COMMERCIAL,DLEAD DISTRIBUTION,"Dakar,
                                                                                Dakar",DLEAD DISTRIBUTION,"23. mars, 14:54",https://www.expat-dakar.com/annonce/stage-formation-commercial-6541927,expat-dakar.com
Ingénieur Hydrogéologue,Importante société de la place,"Dakar,
                                                                                Dakar",Importante société de la place,"23. mars, 12:19",https://www.expat-dakar.com/annonce/ingenieur-hydrogeologue-6661563,expat-dakar.com
Chercheur en science clinique,Institut Pasteur de Dakar,"Dakar,
                                                                                Dakar",Institut Pasteur de Dakar,"23. mars, 12:12",https://www.expat-dakar.com/annonce/chercheur-en-science-clinique-6661538,expat-dakar.com
Recrutement Partenaires de vente en Ligne,N/A,"Mermoz,
                                                                                Dakar",,"23. mars, 09:24",https://www.expat-dakar.com/annonce/recrutement-partenaires-de-vente-en-ligne-6661103,expat-dakar.com
Assister une personne handicapée,Moi,"Thiès,
                                                                                Thiès",Moi,"22. mars, 21:06",https://www.expat-dakar.com/annonce/assister-une-personne-handicapee-6595903,expat-dakar.com
RECHERCHE GESTIONNAIRE DE MAISON,N/A,"Grand-Yoff,
                                                                                Dakar",,"19. mars, 18:32",https://www.expat-dakar.com/annonce/recherche-gestionnaire-de-maison-6658323,expat-dakar.com
RECRUTEMENT CHAUFFEUR PLATEAU,Global RH,"Diamniadio,
                                                                                Dakar",Global RH,"18. mars, 17:19",https://www.expat-dakar.com/annonce/recrutement-chauffeur-plateau-6656615,expat-dakar.com
OFFRE DE STAGE : COMMUNITY MANAGER & INFOGRAPHE,DAS,"Hann maristes,
                                                                                Dakar",DAS,"18. mars, 14:43",https://www.expat-dakar.com/annonce/offre-de-stage-community-manager-infographe-6656459,expat-dakar.com
Chauffeur expérimenté,N/A,"Sacré-cœur,
                                                                                Dakar",,"17. mars, 12:47",https://www.expat-dakar.com/annonce/chauffeur-experimente-6654285,expat-dakar.com
RECRUTEMENT DE PERSONNEL,N/A,"Dakar,
                                                                                Dakar",,"16. mars, 16:38",https://www.expat-dakar.com/annonce/recrutement-de-personnel-6592252,expat-dakar.com
Chef comptable,Formarecrut,"Dakar,
                                                                                Dakar",Formarecrut,"16. mars, 10:49",https://www.expat-dakar.com/annonce/chef-comptable-6652262,expat-dakar.com
Gestionnaire de comptes d’escale,Africa Global Logistics,"Dakar,
                                                                                Dakar",Africa Global Logistics,"16. mars, 10:43",https://www.expat-dakar.com/annonce/gestionnaire-de-comptes-descale-6652247,expat-dakar.com
Pizzailo pizza,Pizz,"Almadies,
                                                                                Dakar",Pizz,"16. mars, 09:21",https://www.expat-dakar.com/annonce/pizzailo-pizza-6651220,expat-dakar.com
5 ménagères polyvalentes recherchées – ferme à Sébikotane,charles placement,"Sebikotane,
                                                                                Dakar",charles placement,"13. mars, 19:03",https://www.expat-dakar.com/annonce/5-menageres-polyvalentes-recherchees-ferme-a-sebikotane-6649505,expat-dakar.com
