titre,entreprise,ville,contrat,date,lien,source
Stage subventionné pour jeunes diplômés au sein de la Délégation de l’...,N/A,Dakar,Emplois,6 avr. 2026 à 18h01,https://annonces.senego.com/stage-subventionne-pour-jeunes-diplomes-au-sein-de-la-delegation-de-lue-au-senegal/329,senego.com
Professeur du Second Degré – Arts Plastiques-Français,N/A,Dakar,Emplois,6 avr. 2026 à 18h01,https://annonces.senego.com/professeur-du-second-degre-arts-plastiques-francais/326,senego.com
Responsable Spa,N/A,Dakar,Emplois,6 avr. 2026 à 18h01,https://annonces.senego.com/responsable-spa/323,senego.com
"Senior Malaria Advisor, DOS LEAP Global – Senegal",N/A,Dakar,Emplois,6 avr. 2026 à 18h01,https://annonces.senego.com/senior-malaria-advisor-dos-leap-global-senegal/320,senego.com
Coordinateur Pédagogique,N/A,Dakar,Emplois,6 avr. 2026 à 18h01,https://annonces.senego.com/coordinateur-pedagogique/327,senego.com
GEF Projects Sub-Regional Coordinator,N/A,Dakar,Emplois,6 avr. 2026 à 18h01,https://annonces.senego.com/gef-projects-sub-regional-coordinator/324,senego.com
Business Development Director – Senegal,N/A,Dakar,Emplois,6 avr. 2026 à 18h01,https://annonces.senego.com/business-development-director-senegal/321,senego.com
Téléconseiller en prise de RDV B2B,N/A,Dakar,Emplois,4 avr. 2026 à 0h00,https://annonces.senego.com/teleconseiller-en-prise-de-rdv-b2b/318,senego.com
Restaurant Manager,N/A,Dakar,Emplois,4 avr. 2026 à 0h00,https://annonces.senego.com/restaurant-manager/315,senego.com
Responsable des Finances et de l’Administration,N/A,Dakar,Emplois,4 avr. 2026 à 0h00,https://annonces.senego.com/responsable-des-finances-et-de-ladministration/312,senego.com
Pricing and Quoting Intern Apprentice West Africa,N/A,Dakar,Emplois,4 avr. 2026 à 0h00,https://annonces.senego.com/~pricing-and-quoting-intern-apprentice-west-africa/309,senego.com
Ingénieur Bâtiment,N/A,Dakar,Emplois,4 avr. 2026 à 0h00,https://annonces.senego.com/ingenieur-batiment/306,senego.com
Chargé(e) de la Relation Client,N/A,Dakar,Emplois,4 avr. 2026 à 0h00,https://annonces.senego.com/charge-e-de-la-relation-client/303,senego.com
Techniciennes de Surface,N/A,Dakar,Emplois,4 avr. 2026 à 0h00,https://annonces.senego.com/techniciennes-de-surface/319,senego.com
"Stagiaire Suivi, Évaluation et Apprentissage",N/A,Dakar,Emplois,4 avr. 2026 à 0h00,https://annonces.senego.com/stagiaire-suivi-evaluation-et-apprentissage/311,senego.com
Adjoint/ Adjointe à la sécurité,N/A,Dakar,Emplois,4 avr. 2026 à 0h00,https://annonces.senego.com/adjoint-adjointe-a-la-securite/308,senego.com
Technicien Bâtiment H/F,N/A,Dakar,Emplois,4 avr. 2026 à 0h00,https://annonces.senego.com/technicien-batiment-h-f/305,senego.com
Télétravail - placement auprès d'entreprises internationales,N/A,Dakar,Emplois,3 avr. 2026 à 12h00,https://annonces.senego.com/teletravail-placement-aupres-dentreprises-internationales/302,senego.com
Gérant de boutique,N/A,Dakar,Emplois,3 avr. 2026 à 0h00,https://annonces.senego.com/gerant-de-boutique/300,senego.com
Responsable de Zone,N/A,Dakar,Emplois,3 avr. 2026 à 0h00,https://annonces.senego.com/responsable-de-zone/290,senego.com
Agent de Sécurité,N/A,Dakar,Emplois,3 avr. 2026 à 0h00,https://annonces.senego.com/agent-de-securite/287,senego.com
Rayonniste,N/A,Dakar,Emplois,3 avr. 2026 à 0h00,https://annonces.senego.com/rayonniste/297,senego.com
Content Manager,N/A,Dakar,Emplois,3 avr. 2026 à 0h00,https://annonces.senego.com/content-manager/294,senego.com
Développeur Fullstack Java/Vue js,N/A,Dakar,Emplois,3 avr. 2026 à 0h00,https://annonces.senego.com/developpeur-fullstack-java-vue-js/291,senego.com
Acheteur,N/A,Dakar,Emplois,3 avr. 2026 à 0h00,https://annonces.senego.com/acheteur/288,senego.com
Economic Specialist,N/A,Dakar,Emplois,3 avr. 2026 à 0h00,https://annonces.senego.com/economic-specialist/285,senego.com
Gérant de station,N/A,Dakar,Emplois,3 avr. 2026 à 0h00,https://annonces.senego.com/gerant-de-station/301,senego.com
Caissier,N/A,Dakar,Emplois,3 avr. 2026 à 0h00,https://annonces.senego.com/caissier/298,senego.com
Pompiste,N/A,Dakar,Emplois,3 avr. 2026 à 0h00,https://annonces.senego.com/pompiste/295,senego.com
Directeur (trice) artistique,N/A,Dakar,Emplois,3 avr. 2026 à 0h00,https://annonces.senego.com/directeur-trice-artistique/292,senego.com
Business Analyst,N/A,Dakar,Emplois,2 avr. 2026 à 0h00,https://annonces.senego.com/business-analyst/279,senego.com
Assistant.e au primaire bilingue,N/A,Dakar,Emplois,2 avr. 2026 à 0h00,https://annonces.senego.com/assistant.e-au-primaire-bilingue/276,senego.com
Chauffeur,N/A,Dakar,Emplois,2 avr. 2026 à 0h00,https://annonces.senego.com/chauffeur/273,senego.com
Télévendeurs en conquête mobile/marché français,N/A,Dakar,Emplois,2 avr. 2026 à 0h00,https://annonces.senego.com/televendeurs-en-conquete-mobile-marche-francais/270,senego.com
Chef de la sécurité,N/A,Dakar,Emplois,2 avr. 2026 à 0h00,https://annonces.senego.com/chef-de-la-securite/283,senego.com
Enseignant Bilingue,N/A,Dakar,Emplois,2 avr. 2026 à 0h00,https://annonces.senego.com/enseignant-bilingue/280,senego.com
